date,open,high,low,close,volume,change,label,ma5,ma20,ma60,vol_change,return,rsi14
2020-03-27,49600,49700,46850,48300,39896178,1.0460251046025104,0,46840.0,50405.0,56101.666666666664,-5.425966576989727,1.0460251046025215,38.15261044174562
2020-03-30,47050,48350,46550,47850,26797395,-0.9316770186335404,0,47910.0,50047.5,55979.166666666664,-32.8321750519561,-0.9316770186335366,36.472945891763096
2020-03-31,48000,48500,47150,47750,30654261,-0.2089864158829676,0,48070.0,49665.0,55850.0,14.392690035729228,-0.2089864158829724,40.35476718401043
2020-04-01,47450,47900,45800,45800,27259532,-4.0837696335078535,1,47500.0,49085.0,55688.333333333336,-11.074248372844476,-4.08376963350785,39.224137931010816
2020-04-02,46200,46850,45350,46800,21621076,2.1834061135371177,1,47300.0,48535.0,55538.333333333336,-20.684346304991585,2.183406113537112,43.2548179871261
2020-04-03,47400,47600,46550,47000,22784682,0.4273504273504274,1,47040.0,48060.0,55375.0,5.381813560065196,0.42735042735042583,45.77777777774929
2020-04-06,47500,48800,47250,48700,23395726,3.617021276595744,1,47210.0,47785.0,55210.0,2.6818193029860993,3.6170212765957555,53.09734513271047
2020-04-07,49650,50200,49000,49600,31524034,1.8480492813141685,0,47580.0,47535.0,55045.0,34.74270471452778,1.848049281314168,59.174311926567505
2020-04-08,49600,49750,48600,48600,25010314,-2.0161290322580645,1,48140.0,47360.0,54855.0,-20.662710870061872,-2.0161290322580627,64.01985111658084
2020-04-09,49750,49800,48700,49100,22628058,1.02880658436214,1,48600.0,47275.0,54673.333333333336,-9.525094327084416,1.0288065843621297,60.16483516478888
2020-04-10,48950,49250,48650,49250,17839111,0.305498981670061,0,49050.0,47240.0,54510.833333333336,-21.16375607663724,0.3054989816700715,71.84466019410965
2020-04-13,48650,48900,48300,48300,14431800,-1.9289340101522845,1,48970.0,47210.0,54304.166666666664,-19.100228705342992,-1.9289340101522834,55.64853556478837
2020-04-14,48800,49200,48300,49000,14206216,1.4492753623188406,0,48850.0,47295.0,54099.166666666664,-1.5631037015479743,1.449275362318847,51.59817351591576
2020-04-16,49350,49350,48550,49000,23349760,0.0,1,48930.0,47465.0,53875.833333333336,64.36298026159817,0.0,55.9405940593284
2020-04-17,50800,52000,50300,51400,32041675,4.8979591836734695,0,49390.0,47887.5,53709.166666666664,37.22485798569235,4.8979591836734615,62.916666666593265
2020-04-20,51400,51400,50000,50100,21866354,-2.529182879377432,0,49560.0,48122.5,53505.833333333336,-31.756520219370554,-2.529182879377434,58.754863813165564
2020-04-21,49400,49700,48700,49250,27407543,-1.6966067864271457,1,49750.0,48460.0,53313.333333333336,25.341165701424195,-1.6966067864271461,55.51470588229579
2020-04-22,48700,50000,48350,49850,18613864,1.2182741116751268,0,49920.0,48605.0,53164.166666666664,-32.08488626652889,1.2182741116751217,66.53061224482192
2020-04-23,50200,50300,49500,49850,18754442,0.0,0,50090.0,48665.0,53010.0,0.7552327662864622,0.0,63.55555555547647
2020-04-24,49650,49750,49000,49350,15618347,-1.0030090270812435,1,49680.0,48742.5,52879.166666666664,-16.721878475509968,-1.0030090270812475,60.17316017308725
2020-04-27,49350,50000,49100,49850,14049471,1.0131712259371837,1,49630.0,48820.0,52770.0,-10.045083516200526,1.0131712259371817,55.55555555548041
