topic,date_kst,idx_domestic,idx_global,idx_overall
battery,20250828,,-0.3710139888157776,-0.3710139888157776
samsung,20250828,,-0.4487402306662666,-0.4487402306662666
semiconductor,20250828,,-0.4338701982051133,-0.4338701982051133
battery,20250905,,-0.2736950204690693,-0.2736950204690693
samsung,20250905,,-0.3986266414758672,-0.3986266414758672
semiconductor,20250905,-0.3714365065097809,-0.2831419913024552,-0.2869601325006098
unh,20250905,,-0.16868706022490973,-0.16868706022490973
